"filename", "language", "JavaScript", "JavaScript JSX", "XML", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/review/ReviewCard.jsx", "JavaScript JSX", 0, 66, 0, 0, 0, 0, 0, 0, 5, 71
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/stats/StatsListWidget.jsx", "JavaScript JSX", 0, 64, 0, 0, 0, 0, 0, 0, 3, 67
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/stats/StatsWidget.jsx", "JavaScript JSX", 0, 128, 0, 0, 0, 0, 0, 0, 3, 131
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/task/TaskCard.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 5, 78
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/task/TasksAssignedByMeWidget.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/task/TasksAssignedToMeWidget.jsx", "JavaScript JSX", 0, 162, 0, 0, 0, 0, 0, 0, 5, 167
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/config/apiConfig/Request.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/constants/Colors.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/constants/FontSize.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/index.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 3, 3, 18
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/pages/LandingPage.jsx", "JavaScript JSX", 0, 94, 0, 0, 0, 0, 0, 0, 4, 98
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/pages/chat/AllChatsSection.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/pages/chat/ChatPage.jsx", "JavaScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 3, 42
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/pages/chat/ChatRoomSection.jsx", "JavaScript JSX", 0, 111, 0, 0, 0, 0, 0, 0, 7, 118
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/pages/common/LoggedInUserLayout.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 0, 0, 1, 5, 41
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/pages/common/SplitLayout.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 3, 40
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/pages/dashboard/DashboardPage.jsx", "JavaScript JSX", 0, 127, 0, 0, 0, 0, 0, 0, 3, 130
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/pages/myApplications/MyApplicationsPage.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 3, 55
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/pages/profile/AboutSection.jsx", "JavaScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 3, 71
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/pages/profile/EditLinks.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 0, 4, 59
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/pages/profile/EditSkills.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 0, 0, 1, 5, 55
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/pages/profile/EducationSection.jsx", "JavaScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/pages/profile/ExperienceSection.jsx", "JavaScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 4, 73
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/pages/profile/HistorySection.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/pages/profile/ProfilePage.jsx", "JavaScript JSX", 0, 325, 0, 0, 0, 0, 0, 0, 5, 330
